point_id,emission,lat,lon,river_name
7093,1.32192,1.6775000002263027,110.2070833333264,Sungai Sibu Laut
7094,3.57227,1.6800000002265278,111.12124999999288,Krai River
7095,1.028,1.6812500000540922,125.03541666665922,
7096,4.3504,1.6829166667206437,111.09458333332616,Sungai Semarang
7097,0.548781,1.6829166667206437,124.96041666665906,
7098,124.09,1.6854166667209256,101.44458333332682,Sungai Dumai
7099,10.9384,1.6862500000542582,101.45541666665996,Sungai Dumai
7100,0.676195,1.6879166667209802,110.14041666665965,Sungai Rambungan
7101,0.238759,1.6879166667209802,124.96541666665904,
7102,0.25466,1.6887499965581014,127.58249999999236,
7103,1.68462,1.6895833333877022,109.26708333332648,
7104,0.242473,1.6895833298914908,125.0141666666592,
7105,18.1355,1.6907111612966332,98.8140452050058,Aek Bargot
7106,8.66123,1.6937500000545356,101.41624999999328,Sungai Dumai
7107,0.165429,1.6945833333878682,101.57708333332658,
7108,10.1991,1.6950000002281058,101.4145833333269,Sungai Dumai
7109,1.31095,1.6962500000544196,127.57458333332602,
7110,0.644667,1.697916666721312,109.95124999999308,Kayan River
7111,0.31226,1.697916666721312,110.02791666665962,
7112,82.0943,1.6987500000547016,109.88958333332651,Kayan River
7113,0.500043,1.7012500000545856,101.53791666666024,Palas
7114,0.210001,1.7087499965582538,128.01916666665898,
7115,0.102599,1.710416666721528,98.7845833333268,Aek Bargot
7116,0.969759,1.7120833333880796,101.50291666665998,Sungai Dumai
7117,0.12936,1.7120833333880796,110.3287499999932,Santubong River
7118,18.8675,1.7145833333883616,110.3337499999932,Santubong River
7119,0.214403,1.7212500000549085,124.9829166666591,
7120,11.0052,1.722916666721801,98.79624999999368,Aek Bargot
7121,0.135213,1.724583333388523,110.49208333332643,
7122,2.00094,1.7258333335640827,128.01291666665907,
7123,3.31407,1.731250000055411,101.38124999999354,Sungai Mesjid
7124,0.55686,1.7309555016278182,109.87178813067231,Kayan River
7125,0.191521,1.740416666722183,118.05291666665926,Sungai Biatan
7126,8.37305,1.7420833333887344,98.77541666666036,Aek Mela
